,Gender,Age,hours_studied,economic_stutus,mothers_education,fathers_education,result
612,0,19,4.5,1,3,3,3.75
613,1,19,4.0,1,2,3,3.75
614,1,19,4.0,1,3,3,4.0
615,1,22,3.0,1,2,2,3.0
616,1,19,3.0,2,3,3,3.75
617,0,22,3.0,2,3,3,3.75
618,0,22,3.0,2,3,3,3.75
619,0,19,4.5,2,3,3,4.0
620,0,22,3.5,1,1,3,3.5
621,0,22,4.0,1,3,3,3.0
622,0,22,3.0,0,0,1,3.25
623,0,19,3.5,0,3,3,2.5
624,0,22,4.0,2,3,3,3.5
626,1,22,3.0,2,3,3,3.75
627,1,22,2.5,1,0,0,4.0
628,1,19,4.5,2,1,3,3.75
629,1,28,3.0,2,1,3,3.25
630,0,22,4.0,1,2,3,3.75
631,1,22,4.5,2,2,2,3.75
632,0,22,3.0,2,2,3,3.75
634,1,22,3.0,2,2,3,3.5
635,1,22,2.5,1,2,2,3.25
636,1,22,3.0,2,0,0,3.25
638,1,22,3.0,1,0,2,3.75
639,1,22,4.5,2,1,2,3.5
641,1,22,3.5,0,1,1,3.25
642,1,22,4.0,2,1,1,3.25
643,0,22,3.0,2,1,2,3.75
645,1,22,3.0,2,2,2,3.25
646,1,22,4.5,0,2,1,3.75
647,0,19,4.5,3,3,3,4.0
648,1,22,4.0,0,2,1,4.0
649,0,22,2.5,1,2,2,3.75
650,0,22,3.0,2,3,3,3.5
652,1,22,3.0,2,3,3,3.0
653,1,22,3.0,2,1,1,3.25
654,0,19,4.5,2,3,3,4.0
655,1,22,3.0,0,2,3,3.5
656,1,22,3.0,1,1,1,3.5
657,1,22,3.0,1,3,3,4.0
658,0,22,2.5,1,2,3,3.75
659,1,25,3.0,1,3,2,3.0
660,1,22,4.0,0,2,3,2.75
661,1,22,3.0,2,1,2,3.0
662,0,19,3.0,2,3,3,2.75
663,1,19,3.5,2,1,2,3.0
664,1,22,3.0,2,2,3,3.0
665,0,22,3.0,2,3,3,3.5
666,1,22,3.0,1,1,1,3.5
667,0,19,3.0,2,3,2,3.25
670,0,19,4.0,2,2,2,3.75
673,0,22,3.0,1,1,1,3.25
674,1,19,4.5,2,3,3,3.75
675,1,19,3.0,1,2,3,2.75
676,1,22,3.0,1,1,1,3.5
677,1,22,3.5,2,1,1,3.75
678,1,19,3.0,1,1,1,3.75
679,0,22,3.0,1,1,2,3.5
680,1,19,3.5,2,2,2,3.0
681,1,22,4.0,2,3,3,0.0
683,1,22,3.0,1,1,2,3.75
684,0,22,3.0,2,1,3,3.75
685,0,22,3.5,1,2,3,3.75
686,1,22,3.0,1,3,3,3.25
688,1,22,2.5,1,2,3,3.5
690,1,22,4.0,0,2,3,4.0
692,1,22,3.0,1,1,2,2.5
694,1,22,4.5,1,0,1,3.25
695,1,25,3.0,1,0,0,3.0
696,1,22,3.0,2,2,2,4.0
697,1,22,3.0,2,1,1,3.75
698,1,22,4.0,2,0,2,3.75
699,1,22,4.5,2,2,2,3.0
700,1,22,3.0,1,3,3,3.0
702,0,19,3.5,2,3,1,3.0
703,1,25,4.0,3,3,3,3.75
704,1,22,4.0,1,2,3,4.0
705,1,19,4.5,1,2,2,3.75
707,1,22,3.5,1,1,2,4.0
708,1,15,4.5,1,3,3,4.0
709,1,22,2.5,1,3,3,4.0
711,1,19,4.0,1,2,3,4.0
713,1,22,4.5,2,2,2,3.25
714,1,22,3.0,1,0,0,3.0
715,1,22,4.0,0,0,0,3.0
720,0,19,4.5,2,1,3,4.0
721,1,22,3.0,1,2,3,3.75
722,0,22,3.0,1,2,3,3.75
723,1,19,3.0,2,1,3,4.0
724,1,22,2.5,1,1,0,3.5
728,1,19,4.5,1,1,1,3.75
729,1,22,3.0,0,0,0,3.75
730,1,22,3.5,2,3,2,3.5
731,1,19,4.5,1,0,0,3.75
732,1,22,3.5,2,2,2,3.5
733,0,19,2.5,0,0,0,3.5
735,1,22,4.5,2,1,1,3.75
736,0,22,4.0,2,3,3,4.0
737,1,22,2.5,1,1,1,4.0
738,1,22,3.0,2,3,2,3.0
740,1,22,2.5,2,2,3,3.5
742,1,22,4.0,1,3,0,2.75
743,0,25,4.5,1,1,1,3.75
746,0,22,3.0,1,3,3,3.75
747,0,22,4.5,2,3,2,3.75
748,1,22,3.0,2,3,3,4.0
751,1,22,3.5,1,3,2,4.0
755,0,22,4.0,2,2,2,3.5
757,0,22,3.5,1,3,2,2.5
759,0,19,4.5,0,1,1,4.0
760,1,22,3.0,2,3,2,4.0
761,1,19,2.5,1,1,0,3.75
762,0,19,4.0,3,3,3,3.25
764,0,22,2.5,3,3,3,3.25
765,1,22,3.5,2,1,1,3.75
767,1,22,3.0,2,2,2,3.5
768,1,22,3.0,1,2,3,3.0
769,1,22,2.5,2,3,3,3.25
771,1,22,3.5,0,1,3,2.75
772,1,22,2.5,0,1,1,3.75
774,1,22,4.0,2,3,3,4.0
776,1,22,2.5,2,3,3,4.0
777,1,22,3.0,1,3,3,3.0
778,0,22,3.5,2,2,3,3.5
782,1,22,3.0,1,2,3,3.25
784,1,19,3.5,1,1,2,3.25
786,0,22,3.0,0,0,0,3.25
787,1,22,4.5,2,3,3,3.75
788,1,25,4.5,1,1,1,3.5
789,1,22,2.5,1,1,1,3.25
790,1,22,4.5,3,3,3,3.75
791,1,28,3.0,2,3,3,4.0
792,1,22,3.0,0,0,1,3.0
793,0,22,3.0,2,3,3,3.25
794,0,19,3.0,2,3,3,4.0
795,0,19,3.0,2,2,2,3.75
796,0,19,3.0,2,2,3,4.0
798,0,22,3.0,1,1,2,4.0
799,0,22,3.0,2,3,3,3.75
800,0,19,4.5,2,1,2,4.0
801,0,19,3.0,1,1,1,4.0
